Sentence,Sentiment,Id
آج بہت گرمی ہے۔ ,1,2307-BSCS009
آج چائے اچھی ہے۔ ,0,2307-BSCS009
آج چائے لاجواب ہے۔ ,0,2307-BSCS009
آج بہت مزہ آیا۔ ,0,2307-BSCS009
گیمز بہت مہنگے ہو گئے ہیں۔ ,1,2307-BSCS009
ہمارے محلے میں اب بھی کچھ لوگ غریبوں کا خیال رکھتے ہیں۔ ,0,2307-BSCS009
ٹریفک قوانین پر عمل نہ کرنے سے سب کا نقصان ہوتا ہے۔ ,1,2307-BSCS009
سکولوں میں تعلیم کا مایار بھیتر کرنے کے لیے حکومت کو کام کرنا چاہئیے۔ ,0,2307-BSCS009
یوتھ میں انٹرپرینیورشپ کا ٹرینڈ  بڑہ رہا ہے۔ ,0,2307-BSCS009
ہمارے شہر میں نئی ​​لائبریریاں کھلنا چاہیئے ہیں۔ ,0,2307-BSCS009
کرپشن کی واجہ سے ترقی رک جاتی ہے۔ ,1,2307-BSCS009
کمیونٹی پارکس فیملیز کے لیے اچھی جگہ ہے۔ ,0,2307-BSCS009
اسکالرشپ پروگرام سے ہونہار طلباء کو مدد ملتی ہے۔ ,0,2307-BSCS009
عوام میں چلانا بری تربیت کا نعتیہ ہے۔ ,1,2307-BSCS009
سڑک حادثات اکسر لپرواہی کی واجہ سے ہوتے ہیں۔ ,1,2307-BSCS009
خون کے عطیہ کیمپوں سے کیئ جانیں بچتی ہیں۔ ,0,2307-BSCS009
آگاہی مہمات سے لوگون میں بہتری آ رہی ہے۔ ,0,2307-BSCS009
انٹرنیٹ گھوٹالوں سے لوگ نقصان اٹھاتے  ہیں۔ ,1,2307-BSCS009
باعزت سلوک سے معاشرہ بہتر ہوتا ہے۔ ,0,2307-BSCS009
ہیلمٹ پہنے کا روجھان بڑھنا اچھی بات ہے۔ ,0,2307-BSCS009
کچھ لوگ صرف اپنا فائدہ دیکھتے ہیں۔ ,1,2307-BSCS009
رواداری اور صبر سے رشتے مظبوط ہوتے ہیں۔ ,0,2307-BSCS009
چیریٹی آرگنائزیشنز بہت لوگون کی مدد کر رہی ہیں۔ ,0,2307-BSCS009
وقت پر نہ آنا غیر ذمے داری ہے۔ ,1,2307-BSCS009
ایماندار افسران ملک کے لیے اثاثہ ہوتے ہیں۔ ,0,2307-BSCS009
نفرت بھری زبان مشاعرے کو نقسان دیتی ہے۔ ,1,2307-BSCS009
کچھ لوگ جانوروں پر ظلم کرتے ہیں جو کہ بہت بڑا ظلم ہے۔ ,1,2307-BSCS009
کچھ اساتذہ طلباء پر توجہ نہیں دیتے۔ ,1,2307-BSCS009
کچھ نوجوانوں کے رضاکار گروپ بہت اچھا کام کر رہے ہیں۔ ,0,2307-BSCS009
رشوت سے انصاف کا نظام کمزور ہوتا ہے۔ ,1,2307-BSCS009
لوگ عام طور پر صفائی کرنے والوں کے کام کا احترام نہیں کرتے۔ ,1,2307-BSCS009
گلیوں کے جانوروں کے لیے پناہ گاہیں بنانا انسانیت کی نشای ہے۔ ,0,2307-BSCS009
لوڈ شیڈنگ نے روزمرہ کا کام مشکل کر دیا ہے۔ ,1,2307-BSCS009
گھریلو تشدد معاشرے میں ایک سنگین مسئلہ ہے۔ ,1,2307-BSCS009
شجرکاری مہم نے شہر کو سرسبز بنا دیا ہے۔ ,0,2307-BSCS009
آج کل لوگ بڑے پیمانے پر پانی ضائع کر رہے ہیں۔ ,1,2307-BSCS009
آن لائن سیکھنے نے طلباء کو نئے مواقع فراہم کیے ہیں۔ ,0,2307-BSCS009
ہسپتالوں میں لمبی لائنیں مریضوں کو پریشان کر تی ہیں۔ ,1,2307-BSCS009
بچوں سے مزدوری کا مطالبہ غیر قانونی ہے۔ ,1,2307-BSCS009
پڑوسیوں کا ایک دوسرے کا خیال رکھنا اچھی بات ہے۔ ,0,2307-BSCS009
جھوٹی خبریں معاشرے میں انتشار پھیلاتی ہیں۔ ,1,2307-BSCS009
لوڈ شیڈنگ نے عوام میں مسئلہ پیدا کر دیا ہے۔ ,1,2307-BSCS009
باعزت سلوک سے رشتے مظبوط ہوتے ہیں۔ ,0,2307-BSCS009
آن لائن سیکھنے سے طلباء کو نئے مواقع ملتے ہیں۔ ,0,2307-BSCS009
شجرکاری مہم سے شہر سرسبز ہو جاتا ہے۔ ,0,2307-BSCS009
ٹریفک قوانین پر عمل نہ کرنے سے سڑک حادثات ہوتے ہیں۔ ,1,2307-BSCS009
کرپشن کی واجہ سے انصاف کا نظام کمزور ہو جاتا ہے۔ ,1,2307-BSCS009
رواداری اور صبر سے معاشرہ بہتر ہوتا ہے۔ ,0,2307-BSCS009
کچھ لوگ صرف اپنا فائدہ دیکھتے ہیں جو کہ غیر ذمے داری ہے۔ ,1,2307-BSCS009
 بہت گرمی سے روزمرہ کے کام مشکل ہو جاتا ہے۔,1,2307-BSCS009
